key	text	tooltip
#Loc;1;text/fixes.loc
message_event_strings_title_bos_railway_theirs_firstjap_boshinjapanese	El Primer Ferrocarril	true
ui_component_localisation_localised_string_DY_text_NewState_Text_7d0073	Decisión de los otros jugadores:	true
ui_component_localisation_localised_string_decision_value_NewState_Text_65002a	Sí	true
ui_component_localisation_localised_string_decision_value_no_Text_6f004e	No	true
ui_component_localisation_localised_string_decision_value_undecided_Text_70052	Sin decidir	true
ui_component_localisation_localised_string_title_NewState_Text_3a007ae	Infantería de élite	true
units_on_screen_name_Boshin_Cav_Missile_Revolver_Cavalry	Caballería con revólver	true
units_on_screen_name_Boshin_Inf_Line_Azure_Dragon_Force	Fuerza del Dragón Azul	true
battlefield_building_categories_global_effects_description_armoury	Ninguno	true
battlefield_building_categories_global_effects_description_barracks	Ninguno	true
battlefield_building_categories_global_effects_description_boulder	Ninguno	true
battlefield_building_categories_global_effects_description_bridge	Ninguno	true
battlefield_building_categories_global_effects_description_church	Ninguno	true
battlefield_building_categories_global_effects_description_coastal_battery	-1	true
battlefield_building_categories_global_effects_description_command_HQ	Ninguno	true
battlefield_building_categories_global_effects_description_farmhouse	Ninguno	true
battlefield_building_categories_global_effects_description_fence	Ninguno	true
battlefield_building_categories_global_effects_description_floor_tile	Ninguno	true
battlefield_building_categories_global_effects_description_fort	Ninguno	true
battlefield_building_categories_global_effects_description_fort_tower	Ninguno	true
battlefield_building_categories_global_effects_description_fort_wall	Ninguno	true
battlefield_building_categories_global_effects_description_gate	Ninguno	true
battlefield_building_categories_global_effects_description_house	Ninguno	true
battlefield_building_categories_global_effects_description_hut	Ninguno	true
battlefield_building_categories_global_effects_description_incidental	Ninguno	true
battlefield_building_categories_global_effects_description_key_building_archery_dojo	Aumenta la velocidad de recarga de todas las unidades de proyectiles.	true
battlefield_building_categories_global_effects_description_key_building_farmhouse	Aumenta la resistencia y la velocidad de movimiento de todas las unidades.	true
